"AppID","Name","Achievements"
"2485470","Poly Jigsaw: Furries","100"
"2428690","Neon Parkour 2","100"
"2480800","Donut Land Clicker","100"
"2494410","Neon Fantasy: Boys","100"
"2313250","Cats Hidden in Paris","100"
"2321690","The Voyager","100"
"1926270","Bloodhound","100"
"2506120","Idle Worlds","100"
"2507750","Poly Jigsaw: Furries 2","100"
"1805130","Komorebi","100"
"2313240","Cats Hidden in Italy","100"
"937730","Lady's Hentai Mosaic","100"
"919300","Hentai Hexa Mosaic","100"
"877840","Pixel Hentai Mosaic","100"
"1066220","Girls of Hentai Mosaic","100"
"1067370","Achievement Machine: Cubic Chaos","100"
"1019420","h2","100"
"1637750","Cute Girl 2","100"
"1122510","Busty Hentai Mosaic","100"
"1044310","Topless Hentai Mosaic","100"
"988480","Warhammer Age of Sigmar: Champions","100"
"423640","Maid Cafe","100"
"2364770","Kingdom Incremental","100"
"2419900","Apartament 1406: Horror","100"
"1733940","仙侠镇尘箓2","100"
"2420250","Simply Cubic","100"
"2529180","Color Splash: Cats","100"
"2606290","Neon Fantasy: Cats","100"
"2606760","Doodle Harmony","100"
"2501160","Idle Transport Tycoon","100"
"2497210","PUSHER - Drug Tycoon","100"
"2616670","Flappy Swan","100"
"2540820","Starfend","100"
"2680800","Twizzle Puzzle: Dogs","100"
"2619030","BAFF Halloween","100"
"2637100","Neon Fantasy: Dogs","100"
"2693480","Color Splash: Animals","100"
"2668580","Cattie","100"
"2685240","Where Cats 猫咪在哪里","100"
"2359030","Desires of the Amazons","100"
"2608050","Cats Hidden in Jingle Jam","100"
"2532040","Zombie sanctuary: Arelia","100"
"2547330","Dr. Lunatic Supreme With Steam","100"
"2395550","Desktop Girlfriend NEO","100"
"2632120","The No-Name Project","100"
"2570040","OA Family","100"
"2668020","Neon Fantasy: Monkeys","100"
"2588190","Petty's Adventure: Volcano","100"
"2230650","TEVI","100"
"1918420","Order from Caos 2","100"
"2583930","Where's My Loot?","100"
"2399080","Idle Catfarmia","100"
"2601850","Ball Hentai Puzzle","100"
"2551260","Color Splash: Dogs","100"
"2436680","Crimen - Mercenary Tales","100"
"2194530","Yog-Sothoth’s Yard","100"
"1736760","Street Stallion: The Jaywalk Simulator","100"
"2595430","HELL HUNTER - Damned Soul","100"
"2597650","Hundred","100"
"2519310","Zombie sanctuary: Ash","100"
"2672090","Cats and Seek","100"
"2252570","Football Manager 2024","100"
"2488690","Desktop Beach Girls","100"
"2685200","Where Christmas Elves 圣诞精灵在哪里","100"
"2694390","Synthwave Runner","100"
"2704230","Twizzle Puzzle: Cats","100"
"2692720","OG Puzzlers: Kira Maus","100"
"2702010","Cute Cats Slide","100"
"2610720","Cultivation Fantasy","100"
"2667970","100 Asian Cats","100"
"2646830","The last world","100"
"2717240","Neon Fantasy: Predators","100"
"2701910","Ancient Russian Life Simulator","100"
"2230070","House of Lizards","100"
"2685250","Where Rabbits 兔子在哪里","100"
"2685220","Where Pandas 熊猫在哪里","100"
"2685230","Where Sacabamba Aspises 萨卡班甲鱼在哪里","100"
"2714900","OG Puzzlers: Fall 2K23","100"
"2685210","Where Jellyfish 水母在哪里","100"
"2715000","OG Memory:  Fall 2K23","100"
"2729040","Twizzle Puzzle: Animals","100"
"2745560","Neon Fantasy: Rodents","100"
"2746760","100 Hidden Kooky - Sand & Sun","100"
"2631580","Cat Search In The Wild West","100"
"849168","Shadow of the Tomb Raider: Definitive Edition","99"
"849162","Shadow of the Tomb Raider: Definitive Edition","99"
"890032","Shadow of the Tomb Raider: Definitive Edition","99"
"849164","Shadow of the Tomb Raider: Definitive Edition","99"
"849167","Shadow of the Tomb Raider: Definitive Edition","99"
"1207780","Wish","99"
"238630","Fist Puncher","99"
"1195530","The Tawashi","99"
"849179","Shadow of the Tomb Raider: Definitive Edition","99"
"849160","Shadow of the Tomb Raider: Definitive Edition","99"
"935640","Pixelarium","99"
"905320","Shadow of the Tomb Raider: Definitive Edition","99"
"1142870","Hentai Fight Club","99"
"1705220","烈山海贰","99"
"402840","Crusaders of the Lost Idols","99"
"849176","Shadow of the Tomb Raider: Definitive Edition","99"
"1488670","Physics Cake","99"
"1426540","Angry Cat","99"
"1123360","In Retrospect","99"
"2003220","TitTok 3","99"
"1907140","Dungeon: Faster & Deadlier","99"
"2157060","Project Malice","99"
"1331550","Big Ambitions","99"
"2334390","CUBERUN","99"
"2448270","Mars Survivors","99"
"2464090","Purrfectly Hidden Cats - Kittenwood","99"
